Site,Bay,year,month,Date,Cod_CPUE,Julian_date
Eelgrass West,Cook,2018,Feb,2/19/2018,0,50
Eelgrass North,Cook,2018,Feb,2/19/2018,0,50
Laminaria North,Cook,2018,Feb,2/19/2018,0,50
Laminaria East,Cook,2018,Feb,2/19/2018,0,50
Eelgrass South,Cook,2018,Feb,2/19/2018,0,50
Eelgrass West,Cook,2018,March,3/17/2018,0,76
Laminaria East,Cook,2018,March,3/17/2018,0,76
Eelgrass South,Cook,2018,March,3/17/2018,0,76
Eelgrass North,Cook,2018,March,3/17/2018,0,76
Eelgrass North,Cook,2018,April,4/18/2018,0,108
Eelgrass West,Cook,2018,April,4/18/2018,0,108
Laminaria East,Cook,2018,April,4/18/2018,0,108
Eelgrass South,Cook,2018,April,4/18/2018,0,108
Eelgrass South,Cook,2018,May,5/5/2018,0,125
Laminaria East,Cook,2018,May,5/5/2018,0,125
Eelgrass West,Cook,2018,May,5/5/2018,0,125
Eelgrass North,Cook,2018,May,5/5/2018,0,125
Laminaria North,Cook,2018,May,5/5/2018,0,125
Laminaria East,Cook,2018,May,5/17/2018,0,137
Eelgrass West,Cook,2018,May,5/17/2018,0,137
Eelgrass North,Cook,2018,May,5/17/2018,0,137
Eelgrass South,Cook,2018,May,5/17/2018,0,137
Eelgrass South,Cook,2018,June,6/27/2018,531,178
Middle cove,Cook,2018,July,7/15/2018,363,196
Laminaria East,Cook,2018,July,7/15/2018,218,196
Eelgrass West,Cook,2018,July,7/15/2018,17,196
Eelgrass South,Cook,2018,July,7/15/2018,470,196
Laminaria South,Cook,2018,July,7/15/2018,203,196
Eelgrass North,Cook,2018,July,7/15/2018,40,196
Laminaria North,Cook,2018,July,7/15/2018,2,196
Bare North,Cook,2018,July,7/15/2018,3,196
Eelgrass North,Cook,2018,July,7/16/2018,55,197
Laminaria North,Cook,2018,July,7/16/2018,20,197
Eelgrass West,Cook,2018,July,7/16/2018,26,197
Eelgrass South,Cook,2018,July,7/16/2018,391,197
Laminaria East,Cook,2018,July,7/16/2018,789,197
Laminaria South,Cook,2018,July,7/16/2018,219,197
Bare North,Cook,2018,July,7/16/2018,7,197
Middle cove,Cook,2018,July,7/16/2018,7,197
Bare North,Cook,2018,Aug,8/20/2018,19,232
Middle cove,Cook,2018,Aug,8/20/2018,27,232
Eelgrass North,Cook,2018,Aug,8/20/2018,87,232
Laminaria North,Cook,2018,Aug,8/20/2018,11,232
Laminaria South,Cook,2018,Aug,8/20/2018,0,232
Eelgrass South,Cook,2018,Aug,8/20/2018,641,232
Eelgrass West,Cook,2018,Aug,8/20/2018,165,232
Laminaria East,Cook,2018,Aug,8/20/2018,47,232
Laminaria East,Cook,2018,Aug,8/21/2018,79,233
Eelgrass South,Cook,2018,Aug,8/21/2018,483,233
Laminaria South,Cook,2018,Aug,8/21/2018,38,233
Eelgrass West,Cook,2018,Aug,8/21/2018,124,233
Laminaria North,Cook,2018,Aug,8/21/2018,19,233
Eelgrass North,Cook,2018,Aug,8/21/2018,153,233
Middle cove,Cook,2018,Aug,8/21/2018,3,233
Bare North,Cook,2018,Aug,8/21/2018,0,233
Laminaria East,Cook,2018,Sept,9/24/2018,23,267
Eelgrass South,Cook,2018,Sept,9/24/2018,8,267
Laminaria North,Cook,2018,Sept,9/24/2018,39,267
Eelgrass West,Cook,2018,Sept,9/24/2018,134,267
Laminaria North,Cook,2018,Oct,10/7/2018,14,280
Eelgrass South,Cook,2018,Oct,10/7/2018,117,280
Eelgrass West,Cook,2018,Oct,10/7/2018,20,280
Laminaria East,Cook,2018,Oct,10/7/2018,2,280
Eelgrass South,Cook,2018,Dec,12/3/2018,0,337
Laminaria North,Cook,2018,Dec,12/3/2018,0,337
Laminaria East,Cook,2018,Dec,12/3/2018,0,337
Eelgrass West,Cook,2018,Dec,12/3/2018,5,337
Eelgrass West,Cook,2019,May,5/17/2019,0,137
Laminaria North,Cook,2019,May,5/17/2019,0,137
Laminaria East,Cook,2019,May,5/17/2019,0,137
Eelgrass South,Cook,2019,May,5/17/2019,0,137
Laminaria North,Cook,2019,June,6/4/2019,0,155
Eelgrass West,Cook,2019,June,6/4/2019,0,155
Laminaria East,Cook,2019,June,6/4/2019,0,155
Eelgrass South,Cook,2019,June,6/4/2019,0,155
Laminaria North,Cook,2019,June,6/18/2019,0,169
Laminaria East,Cook,2019,June,6/18/2019,0,169
Eelgrass West,Cook,2019,June,6/18/2019,0,169
Eelgrass South,Cook,2019,June,6/18/2019,0,169
Middle cove,Cook,2019,July,7/11/2019,0,192
Bare North,Cook,2019,July,7/11/2019,0,192
Eelgrass North,Cook,2019,July,7/11/2019,0,192
Laminaria North,Cook,2019,July,7/11/2019,0,192
Eelgrass West,Cook,2019,July,7/11/2019,0,192
Laminaria South,Cook,2019,July,7/11/2019,0,192
Laminaria East,Cook,2019,July,7/11/2019,1,192
Eelgrass South,Cook,2019,July,7/11/2019,0,192
Laminaria South,Cook,2019,July,7/14/2019,0,195
Eelgrass South,Cook,2019,July,7/14/2019,2,195
Laminaria East,Cook,2019,July,7/14/2019,0,195
Eelgrass West,Cook,2019,July,7/14/2019,0,195
Laminaria North,Cook,2019,July,7/14/2019,0,195
Eelgrass North,Cook,2019,July,7/14/2019,0,195
Bare North,Cook,2019,July,7/14/2019,0,195
Middle cove,Cook,2019,July,7/14/2019,0,195
Middle cove,Cook,2019,Aug,8/19/2019,0,231
Bare North,Cook,2019,Aug,8/19/2019,0,231
Laminaria North,Cook,2019,Aug,8/19/2019,0,231
Eelgrass North,Cook,2019,Aug,8/19/2019,0,231
Laminaria East,Cook,2019,Aug,8/19/2019,0,231
Eelgrass West,Cook,2019,Aug,8/19/2019,0,231
Laminaria South,Cook,2019,Aug,8/19/2019,0,231
Eelgrass South,Cook,2019,Aug,8/19/2019,0,231
Middle cove,Cook,2019,Aug,8/20/2019,0,232
Bare North,Cook,2019,Aug,8/20/2019,0,232
Laminaria South,Cook,2019,Aug,8/20/2019,0,232
Eelgrass South,Cook,2019,Aug,8/20/2019,1,232
Eelgrass North,Cook,2019,Aug,8/20/2019,0,232
Laminaria North,Cook,2019,Aug,8/20/2019,0,232
Laminaria East,Cook,2019,Aug,8/20/2019,0,232
Eelgrass West,Cook,2019,Aug,8/20/2019,0,232
Laminaria North,Cook,2019,Sept,9/29/2019,0,272
Eelgrass West,Cook,2019,Sept,9/29/2019,0,272
Laminaria East,Cook,2019,Sept,9/29/2019,0,272
Eelgrass South,Cook,2019,Sept,9/29/2019,0,272
Laminaria North,Cook,2020,June,6/5/2020,0,157
Eelgrass West,Cook,2020,June,6/5/2020,264,157
Eelgrass South,Cook,2020,June,6/5/2020,264,157
Laminaria North,Cook,2020,July,7/1/2020,16,183
Eelgrass West,Cook,2020,July,7/1/2020,212,183
Laminaria East,Cook,2020,July,7/1/2020,204,183
Eelgrass South,Cook,2020,July,7/1/2020,370,183
Bare North,Cook,2020,Aug,8/21/2020,1350,234
Eelgrass North,Cook,2020,Aug,8/21/2020,830,234
Eelgrass South,Cook,2020,Aug,8/21/2020,950,234
Eelgrass West,Cook,2020,Aug,8/21/2020,673,234
Laminaria East,Cook,2020,Aug,8/21/2020,211,234
Laminaria North,Cook,2020,Aug,8/21/2020,484,234
Laminaria South,Cook,2020,Aug,8/21/2020,95,234
Middle Cove,Cook,2020,Aug,8/21/2020,67,234
Laminaria North,Cook,2020,Sept,9/15/2020,295,259
Eelgrass West,Cook,2020,Sept,9/15/2020,346,259
Laminaria East,Cook,2020,Sept,9/15/2020,732,259
Eelgrass South,Cook,2020,Sept,9/15/2020,530,259
Laminaria North,Cook,2020,Oct,10/15/2020,23,289
Eelgrass West,Cook,2020,Oct,10/15/2020,719,289
Laminaria East,Cook,2020,Oct,10/15/2020,243,289
Eelgrass South,Cook,2020,Oct,10/15/2020,232,289
Laminaria North,Cook,2020,Nov,11/12/2020,0,317
Eelgrass West,Cook,2020,Nov,11/12/2020,4,317
Laminaria East,Cook,2020,Nov,11/12/2020,0,317
Eelgrass South,Cook,2020,Nov,11/12/2020,2,317
