Month,Year,Sample,polycheate,Gammarid,Caprellidae,decapod,isopoda,shrimp,Corphiidae,euphasids,harp_cope,cumacea
July,2020,254,0,0,0,0,0,0,0,0,0.6598,0.3402
July,2020,262,0,0,0,0,0,0,0,0,0.9286,0.0714
Aug,2020,277,0,0,0,0,0,0,0,0,1.0000,0
June,2020,231,0,0,0,0,0,0,0,0,1.0000,0
June,2020,245,0,0,0,0,0,0,0,0,1.0000,0
June,2020,242,0,0,0,0,0,0,0,0,1.0000,0
June,2020,244,0,0,0,0,0,0,0,0,1.0000,0
June,2020,246,0,0,0,0,0,0,0,0,1.0000,0
June,2020,243,0,0,0,0,0,0,0,0,1.0000,0
June,2020,235,0,0,0,0,0,0,0,0,1.0000,0
June,2020,237,0,0,0,0,0,0,0,0,1.0000,0
June,2020,239,0,0,0,0,0,0,0,0,1.0000,0
June,2020,232,0,0,0,0,0,0,0,0,1.0000,0
June,2020,240,0,0,0,0,0,0,0,0,1.0000,0
June,2020,236,0,0,0,0,0,0,0,0,1.0000,0
June,2020,230,0,0,0,0,0,0,0,0,1.0000,0
Sept,2020,216,0,0,0,0,0,0,0,0,1.0000,0
Sept,2020,211,0,0,0,0,0,0,0,0,1.0000,0
Nov,2020,203,0,0,0,0,0,0,0,0,1.0000,0
Aug,2018,130,0,0,0,0,0,0,0,0,1.0000,0
Nov,2020,204,0,0,0,0,0,0,0,0.7358,0.2642,0
Aug,2020,282,0,0,0,0,0,0,0.9108,0,0.0892,0
Aug,2018,121,0,0,0,0,0,0,1.0000,0,0,0
Aug,2020,272,0,0,0,0,0.8333,0,0,0,0.1667,0
July,2018,114,0,0,0,0,0.8619,0,0.1326,0,0.0055,0
Sept,2018,171,0,0,0,0,1.0000,0,0,0,0,0
July,2018,100,0,0,0,0.5000,0,0,0,0,0.5000,0
Oct,2020,302,0,0,0,1.0000,0,0,0,0,0,0
Aug,2018,129,0,0,0.0186,0,0,0,0.2602,0,0.0019,0.7193
June,2020,241,0,0,0.0769,0,0,0,0,0,0.9231,0
July,2020,253,0,0,0.1359,0,0,0,0,0,0.6602,0.2039
June,2018,187,0,0,0.1538,0,0,0,0,0,0.8462,0
July,2020,247,0,0,0.2121,0,0,0,0,0,0.7879,0
July,2020,266,0,0,0.4737,0,0,0,0,0,0.5263,0
Aug,2018,133,0,0,0.5749,0,0,0,0.2335,0,0.1916,0
July,2020,248,0,0,0.5849,0,0,0,0,0,0,0.4151
July,2020,263,0,0,0.6532,0,0,0,0,0,0.0045,0.3423
Aug,2018,134,0,0,0.6616,0,0,0.1465,0.1919,0,0,0
Aug,2018,131,0,0,0.7061,0,0,0,0.2939,0,0,0
July,2018,101,0,0,0.8702,0,0,0,0.1221,0,0.0076,0
Aug,2020,270,0,0,0.8920,0.1065,0,0,0,0,0.0014,0
July,2018,108,0,0,0.9000,0,0,0,0,0,0.1000,0
July,2020,258,0,0,0.9537,0,0,0,0,0,0.0463,0
July,2020,261,0,0,0.9815,0,0,0,0,0,0.0185,0
July,2020,255,0,0,0.9907,0,0,0,0,0,0,0.0093
Aug,2020,275,0,0,0.9920,0,0,0,0,0,0.0080,0
July,2020,257,0,0,0.9961,0,0,0,0,0,0,0.0039
Aug,2020,271,0,0,0.9966,0,0,0,0,0,0.0034,0
July,2018,99,0,0,0.9968,0,0,0,0,0,0.0032,0
July,2020,249,0,0,0.9982,0,0,0,0,0,0,0.0018
Oct,2020,287,0,0,1.0000,0,0,0,0,0,0,0
July,2020,259,0,0,1.0000,0,0,0,0,0,0,0
July,2020,260,0,0,1.0000,0,0,0,0,0,0,0
July,2020,252,0,0,1.0000,0,0,0,0,0,0,0
July,2020,256,0,0,1.0000,0,0,0,0,0,0,0
July,2020,251,0,0,1.0000,0,0,0,0,0,0,0
Sept,2020,209,0,0,1.0000,0,0,0,0,0,0,0
Aug,2018,117,0,0.0005,0.1372,0,0.8623,0,0,0,0,0
June,2018,182,0,0.0063,0.9906,0,0.0031,0,0,0,0,0
Aug,2020,280,0,0.0098,0.9804,0,0,0,0,0,0.0098,0
Aug,2018,126,0,0.0123,0.8149,0,0,0,0.1719,0,0.0009,0
July,2018,96,0,0.0123,0.8272,0,0,0,0,0,0.1605,0
July,2018,109,0,0.0135,0.3243,0,0,0,0.0405,0,0.6216,0
June,2018,200,0,0.0208,0.7500,0,0,0,0,0,0.2292,0
June,2018,186,0,0.0217,0.9130,0,0.0435,0,0,0,0.0217,0
Aug,2018,128,0,0.0231,0,0,0.4939,0,0.0699,0,0.0006,0.4124
July,2018,103,0,0.0256,0.9615,0,0,0,0,0,0.0128,0
Aug,2018,119,0,0.0301,0,0.0060,0,0.0422,0.9217,0,0,0
July,2020,264,0,0.0326,0.9663,0,0,0,0,0,0,0.0011
June,2018,193,0,0.0377,0.8302,0,0,0,0,0,0.1321,0
July,2018,104,0,0.0435,0.8261,0.1304,0,0,0,0,0,0
June,2018,198,0,0.0455,0,0,0,0,0,0,0.9545,0
July,2020,250,0,0.0635,0.9197,0,0,0,0,0,0.0167,0
Aug,2018,116,0,0.0940,0.0040,0,0,0,0.9020,0,0,0
Sept,2020,214,0,0.1019,0.8583,0,0,0.0398,0,0,0,0
Nov,2020,201,0,0.1253,0,0,0,0,0,0.6215,0.2532,0
Oct,2020,295,0,0.1318,0,0,0,0,0,0,0.8682,0
June,2018,184,0,0.1362,0.7934,0,0.0704,0,0,0,0,0
June,2018,189,0,0.1429,0,0,0,0,0,0,0.8571,0
July,2018,102,0,0.1442,0.8483,0.0019,0,0,0,0,0.0056,0
Sept,2018,167,0,0.1477,0.1256,0,0,0.7268,0,0,0,0
June,2018,195,0,0.1714,0.8229,0,0,0,0,0,0.0057,0
June,2020,227,0,0.2000,0,0,0,0,0,0,0.8000,0
Sept,2018,164,0,0.2019,0,0.7908,0,0.0062,0,0,0.0005,0.0005
July,2018,115,0,0.2250,0.0500,0,0,0,0,0,0.7250,0
June,2018,196,0,0.2288,0,0,0,0,0,0,0.7712,0
June,2018,181,0,0.2358,0.7642,0,0,0,0,0,0,0
Sept,2020,222,0,0.2400,0,0.7600,0,0,0,0,0,0
June,2018,183,0,0.2500,0.6827,0,0.0577,0,0,0,0.0096,0
June,2018,191,0,0.2500,0.6705,0,0,0,0,0,0.0795,0
Sept,2018,180,0,0.2918,0.1316,0,0.4851,0.0915,0,0,0,0
Oct,2018,152,0,0.2950,0.1781,0,0,0.5269,0,0,0,0
Dec,2018,157,0,0.3049,0.5244,0.1707,0,0,0,0,0,0
July,2018,110,0,0.3218,0.5172,0,0,0,0,0,0.1609,0
June,2018,199,0,0.3370,0.6630,0,0,0,0,0,0,0
June,2018,194,0,0.3463,0.6537,0,0,0,0,0,0,0
Aug,2020,268,0,0.4052,0.2328,0.3621,0,0,0,0,0,0
June,2018,190,0,0.4308,0.5538,0,0,0,0,0,0.0154,0
Sept,2018,166,0,0.4602,0.5341,0,0,0,0,0,0.0057,0
July,2018,105,0,0.4688,0.4688,0.0625,0,0,0,0,0,0
Sept,2020,226,0,0.5122,0,0.4682,0,0,0,0,0.0195,0
July,2018,97,0,0.5385,0,0,0,0,0,0,0.4615,0
Sept,2018,168,0,0.5398,0.3805,0.0619,0,0,0,0,0.0177,0
Sept,2020,217,0,0.5550,0,0,0.1335,0,0.3115,0,0,0
Sept,2018,162,0,0.6391,0.3232,0,0,0,0,0,0,0.0377
Aug,2018,124,0,0.6928,0,0,0.3072,0,0,0,0,0
Aug,2020,281,0,0.7207,0.1303,0,0,0,0,0,0.1489,0
Dec,2018,158,0,0.7685,0.2308,0,0,0,0,0,0.0007,0
June,2018,197,0,0.7778,0.1111,0.0278,0,0,0,0,0.0833,0
Aug,2020,276,0,0.8242,0.1758,0,0,0,0,0,0,0
Oct,2018,137,0,0.8362,0.1638,0,0,0,0,0,0,0
Sept,2018,170,0,0.8750,0,0,0,0,0,0,0.1250,0
Sept,2018,172,0,0.8894,0.0513,0,0.0577,0,0,0,0.0016,0
Oct,2018,136,0,0.9651,0.0349,0,0,0,0,0,0,0
Aug,2020,267,0,0.9695,0,0,0,0,0,0,0.0305,0
June,2020,229,0,0.9756,0,0,0,0,0,0,0.0244,0
July,2018,107,0,0.9907,0,0,0,0,0,0,0.0093,0
Oct,2018,138,0,0.9927,0,0,0.0073,0,0,0,0,0
Aug,2020,286,0,0.9960,0,0,0,0,0,0,0.0040,0
Sept,2020,208,0,0.9981,0,0,0,0,0,0,0.0019,0
Oct,2020,293,0,0.9982,0,0,0,0,0,0,0.0018,0
Aug,2020,285,0,1.0000,0,0,0,0,0,0,0,0
Aug,2020,279,0,1.0000,0,0,0,0,0,0,0,0
Aug,2020,283,0,1.0000,0,0,0,0,0,0,0,0
Aug,2020,269,0,1.0000,0,0,0,0,0,0,0,0
Oct,2020,303,0,1.0000,0,0,0,0,0,0,0,0
Oct,2020,299,0,1.0000,0,0,0,0,0,0,0,0
Oct,2020,290,0,1.0000,0,0,0,0,0,0,0,0
June,2020,233,0,1.0000,0,0,0,0,0,0,0,0
Sept,2020,220,0,1.0000,0,0,0,0,0,0,0,0
Oct,2018,140,0,1.0000,0,0,0,0,0,0,0,0
Oct,2018,151,0,1.0000,0,0,0,0,0,0,0,0
Dec,2018,159,0,1.0000,0,0,0,0,0,0,0,0
Sept,2018,163,0,1.0000,0,0,0,0,0,0,0,0
Sept,2018,165,0,1.0000,0,0,0,0,0,0,0,0
June,2018,185,0.0020,0.5982,0.3973,0,0,0,0,0,0.0023,0
Aug,2018,120,0.0040,0.9942,0,0,0,0.0019,0,0,0,0
July,2018,112,0.0492,0.0033,0.9410,0.0033,0,0,0,0,0.0033,0
Aug,2018,122,0.0526,0,0,0,0,0,0,0,0.8947,0.0526
Nov,2020,202,0.0607,0.0131,0.0233,0,0,0,0,0.9029,0,0
July,2018,106,0.0664,0.0973,0.8363,0,0,0,0,0,0,0
June,2018,192,0.0800,0.8400,0,0,0,0,0,0,0.0800,0
Aug,2020,273,0.0882,0.8441,0,0,0,0,0,0,0,0.0677
Oct,2018,155,0.1344,0.1092,0,0,0,0.7564,0,0,0,0
Aug,2020,284,0.1757,0.8127,0,0,0,0,0.0106,0,0.0011,0
July,2018,111,0.2692,0.0192,0.0096,0,0,0,0.0481,0,0.4904,0.1635
Dec,2018,160,0.3424,0.6057,0,0.0519,0,0,0,0,0,0
Aug,2020,278,0.4632,0.4177,0,0,0,0,0.1190,0,0,0
Oct,2020,297,0.5010,0.4990,0,0,0,0,0,0,0,0
Sept,2020,210,0.5338,0.4079,0,0,0.0566,0,0,0,0.0017,0
Sept,2020,207,0.5393,0,0.4607,0,0,0,0,0,0,0
Sept,2018,174,0.5658,0,0.2279,0,0,0.2052,0,0,0.0011,0
July,2018,98,0.6190,0.0476,0,0,0,0,0,0,0.3333,0
Oct,2018,150,0.6337,0,0,0,0,0.3655,0,0,0.0008,0
Sept,2018,161,0.6613,0.0565,0,0.2823,0,0,0,0,0,0
July,2018,113,0.7529,0.0497,0.0866,0,0,0.0013,0,0,0.1096,0
Sept,2020,212,0.7639,0.2361,0,0,0,0,0,0,0,0
Aug,2018,127,0.7929,0,0,0,0,0,0.1931,0,0.0010,0.0131
Oct,2020,296,0.8037,0.1963,0,0,0,0,0,0,0,0
Oct,2018,144,0.8307,0.1560,0.0133,0,0,0,0,0,0,0
Oct,2018,148,0.8394,0.1606,0,0,0,0,0,0,0,0
Oct,2018,153,0.8462,0.1273,0.0266,0,0,0,0,0,0,0
Aug,2020,274,0.8640,0,0.0670,0,0,0,0.0690,0,0,0
Sept,2018,173,0.8750,0.1250,0,0,0,0,0,0,0,0
Aug,2018,125,0.8951,0,0,0,0.0834,0,0,0,0.0215,0
Aug,2018,118,0.8993,0.0072,0,0,0,0,0.0072,0,0.0216,0.0647
Oct,2018,142,0.8998,0.1002,0,0,0,0,0,0,0,0
Oct,2018,146,0.9035,0.0965,0,0,0,0,0,0,0,0
Sept,2018,178,0.9128,0.0872,0,0,0,0,0,0,0,0
Sept,2018,169,0.9660,0,0,0,0.0340,0,0,0,0,0
Aug,2018,135,0.9719,0.0013,0.0069,0,0,0,0,0,0,0.0199
Sept,2018,177,0.9857,0.0143,0,0,0,0,0,0,0,0
July,2020,265,0.9882,0,0,0,0,0,0,0,0.0118,0
Oct,2018,145,0.9936,0.0060,0,0,0,0,0,0,0.0004,0
Oct,2018,139,0.9937,0,0,0.0063,0,0,0,0,0,0
Oct,2018,154,0.9952,0,0.0048,0,0,0,0,0,0,0
Oct,2020,288,0.9977,0,0,0,0,0,0,0,0.0023,0
Oct,2020,306,0.9988,0,0,0,0,0,0,0,0.0012,0
Oct,2018,143,0.9989,0,0,0,0,0,0,0,0.0011,0
Nov,2020,205,0.9989,0,0,0,0,0,0,0,0.0011,0
Aug,2018,132,0.9996,0,0,0,0,0,0,0,0.0004,0
Oct,2020,298,1.0000,0,0,0,0,0,0,0,0,0
Oct,2020,305,1.0000,0,0,0,0,0,0,0,0,0
Oct,2020,301,1.0000,0,0,0,0,0,0,0,0,0
Oct,2020,304,1.0000,0,0,0,0,0,0,0,0,0
Oct,2020,292,1.0000,0,0,0,0,0,0,0,0,0
Oct,2020,291,1.0000,0,0,0,0,0,0,0,0,0
Oct,2020,289,1.0000,0,0,0,0,0,0,0,0,0
Sept,2020,224,1.0000,0,0,0,0,0,0,0,0,0
Sept,2020,225,1.0000,0,0,0,0,0,0,0,0,0
Sept,2020,223,1.0000,0,0,0,0,0,0,0,0,0
Sept,2020,219,1.0000,0,0,0,0,0,0,0,0,0
Sept,2020,218,1.0000,0,0,0,0,0,0,0,0,0
Sept,2020,213,1.0000,0,0,0,0,0,0,0,0,0
Sept,2020,215,1.0000,0,0,0,0,0,0,0,0,0
Nov,2020,206,1.0000,0,0,0,0,0,0,0,0,0
Oct,2018,141,1.0000,0,0,0,0,0,0,0,0,0
Oct,2018,147,1.0000,0,0,0,0,0,0,0,0,0
Oct,2018,149,1.0000,0,0,0,0,0,0,0,0,0
Sept,2018,176,1.0000,0,0,0,0,0,0,0,0,0
Sept,2018,179,1.0000,0,0,0,0,0,0,0,0,0
