"","Month","Season","Year","Sample","polycheate","Gammarid","Caprellidae","decapod","isopoda","shrimp","Corphiidae","euphasids","harp_cope","cumacea","NMDS1","NMDS2","NMDS3"
"1","Aug","Summer",2020,285,0,100,0,0,0,0,0,0,0,0,-0.153653610075718,0.862774973997809,-0.952733134493047
"2","Aug","Summer",2020,279,0,100,0,0,0,0,0,0,0,0,-0.153653610075718,0.86277497399781,-0.952733134493046
"3","Aug","Summer",2020,283,0,100,0,0,0,0,0,0,0,0,-0.153653610075718,0.86277497399781,-0.952733134493047
"4","Aug","Summer",2020,269,0,100,0,0,0,0,0,0,0,0,-0.153653610075717,0.86277497399781,-0.952733134493046
"5","Aug","Summer",2020,276,0,82.4,17.6,0,0,0,0,0,0,0,-0.378387632239856,0.748723074999322,-0.577087830854085
"6","Aug","Summer",2020,268,0,40.5,23.3,36.2,0,0,0,0,0,0,-0.868082694686823,0.480306449831905,-0.476973836702082
"7","Aug","Summer",2018,124,0,69.3,0,0,30.7,0,0,0,0,0,-0.0429573783063382,1.05743680146551,-0.602987275771778
"8","Aug","Summer",2018,117,0,0.1,13.7,0,86.2,0,0,0,0,0,0.0659490272281931,0.680717783407979,1.27566829888404
"9","Aug","Summer",2018,120,0.4,99.4,0,0,0,0.2,0,0,0,0,-0.0456722176258499,0.822217164865208,-0.936210702208776
"10","Aug","Summer",2020,274,86.4,0,6.7,0,0,0,6.9,0,0,0,1.01856923063442,0.0350958226581825,0.443445886161778
"11","Aug","Summer",2020,278,46.3,41.8,0,0,0,0,11.9,0,0,0,0.624780227422876,0.51880819528507,-0.246591933799062
"12","Aug","Summer",2018,134,0,0,66.2,0,0,14.6,19.2,0,0,0,-0.754939013218419,0.397506833154427,0.951870038205593
"13","Aug","Summer",2018,131,0,0,70.6,0,0,0,29.4,0,0,0,-0.739228043540012,0.290090554231985,1.00723437258545
"14","Aug","Summer",2018,116,0,9.4,0.4,0,0,0,90.2,0,0,0,0.267058593590096,1.35020721316583,0.802748349924088
"15","Aug","Summer",2018,119,0,3,0,0.6,0,4.2,92.2,0,0,0,0.282430240518064,1.35544722722076,0.997872956763243
"16","Aug","Summer",2018,121,0,0,0,0,0,0,100,0,0,0,0.343314058086068,0.973965058189448,1.92946742095495
"17","Aug","Summer",2018,132,100,0,0,0,0,0,0,0,0.1,0,1.23545876004333,-0.152828502986548,0.157898496993205
"18","Aug","Summer",2018,126,0,1.2,81.5,0,0,0,17.2,0,0.1,0,-0.735709744394956,0.13520456815511,0.85661814075328
"19","Aug","Summer",2020,284,17.6,81.3,0,0,0,0,1.1,0,0.1,0,0.204723896620998,0.602923501243982,-0.717062364371614
"20","Aug","Summer",2020,270,0,0,89.2,10.7,0,0,0,0,0.1,0,-1.05757052010731,0.0695007089604481,0.632809044333309
"21","Aug","Summer",2020,271,0,0,99.7,0,0,0,0,0,0.3,0,-1.01428230773859,0.0655623561530666,0.757564044980003
"22","Aug","Summer",2020,286,0,99.6,0,0,0,0,0,0,0.4,0,-0.124033634784634,0.675020361578274,-0.926077169888513
"23","Aug","Summer",2020,275,0,0,99.2,0,0,0,0,0,0.8,0,-0.983711203533657,0.0746492315672055,0.783543260927694
"24","Aug","Summer",2020,280,0,1,98,0,0,0,0,0,1,0,-0.935496482372075,0.11992768896955,0.749738647626379
"25","Aug","Summer",2018,125,89.5,0,0,0,8.3,0,0,0,2.1,0,1.16694107050984,-0.153038807519209,0.275538650084375
"26","Aug","Summer",2020,267,0,97,0,0,0,0,0,0,3,0,-0.14754194295601,0.627527786178516,-0.936465229424862
"27","Aug","Summer",2020,282,0,0,0,0,0,0,91.1,0,8.9,0,0.195304839526276,-1.03396989826728,1.20092770841808
"28","Aug","Summer",2020,281,0,72.1,13,0,0,0,0,0,14.9,0,-0.342288418227748,0.317110590125678,-0.660091541014958
"29","Aug","Summer",2020,272,0,0,0,0,83.3,0,0,0,16.7,0,0.129026419229566,-1.24343785931152,0.895745207640044
"30","Aug","Summer",2018,133,0,0,57.5,0,0,0,23.4,0,19.2,0,-0.697326133369745,-0.338201892648279,0.663188313712044
"31","Aug","Summer",2020,277,0,0,0,0,0,0,0,0,100,0,-0.294598384966359,-1.36324995289888,-0.491917161217174
"32","Aug","Summer",2018,130,0,0,0,0,0,0,0,0,100,0,-0.294598384966358,-1.36324995289888,-0.491917161217174
"33","Aug","Summer",2018,127,79.3,0,0,0,0,0,19.3,0,0.1,1.3,1.06791410285014,-0.137333267003231,0.454323782665333
"34","Aug","Summer",2018,135,97.2,0.1,0.7,0,0,0,0,0,0,2,1.162243094607,-0.0206001028741615,0.269024375090595
"35","Aug","Summer",2018,122,5.3,0,0,0,0,0,0,0,89.5,5.3,-0.0319773383326391,-1.25525186636311,-0.409530315347897
"36","Aug","Summer",2018,118,89.9,0.7,0,0,0,0,0.7,0,2.2,6.5,1.12070483861514,-0.14017073569533,0.250024207215411
"37","Aug","Summer",2020,273,8.8,84.4,0,0,0,0,0,0,0,6.8,0.10867006090065,0.693946098152672,-0.814664430984997
"38","Aug","Summer",2018,128,0,2.3,0,0,49.4,0,7,0,0.1,41.2,0.243671119589322,-0.48167923484817,1.31681130999186
"39","Aug","Summer",2018,129,0,0,1.9,0,0,0,26,0,0.2,71.9,0.191009001664137,-0.827786292668228,1.34874044114463
"40","Dec","Fall",2018,159,0,100,0,0,0,0,0,0,0,0,-0.153653610075718,0.86277497399781,-0.952733134493047
"41","Dec","Fall",2018,160,34.2,60.6,0,5.2,0,0,0,0,0,0,0.407571285766673,0.544427232200948,-0.602784452338423
"42","Dec","Fall",2018,157,0,30.5,52.4,17.1,0,0,0,0,0,0,-0.854446082833029,0.432817007078182,0.0216593622869984
"43","Dec","Fall",2018,158,0,76.8,23.1,0,0,0,0,0,0.1,0,-0.426923600936254,0.627977687762462,-0.478915101344613
"44","July","Summer",2018,106,6.6,9.7,83.6,0,0,0,0,0,0,0,-0.580122851450222,0.217526480092092,0.639388254306896
"45","July","Summer",2020,259,0,0,100,0,0,0,0,0,0,0,-1.15157041918959,0.179371895965592,0.7634225196354
"46","July","Summer",2020,260,0,0,100,0,0,0,0,0,0,0,-1.15157041918959,0.179371895965592,0.7634225196354
"47","July","Summer",2020,252,0,0,100,0,0,0,0,0,0,0,-1.15157041918959,0.179371895965592,0.7634225196354
"48","July","Summer",2020,256,0,0,100,0,0,0,0,0,0,0,-1.15157041918959,0.179371895965592,0.7634225196354
"49","July","Summer",2020,251,0,0,100,0,0,0,0,0,0,0,-1.15157041918959,0.179371895965592,0.7634225196354
"50","July","Summer",2018,105,0,46.9,46.9,6.3,0,0,0,0,0,0,-0.687671493234779,0.539166468810708,-0.101353223481501
"51","July","Summer",2018,104,0,4.3,82.6,13,0,0,0,0,0,0,-1.07424004409499,0.157873473026842,0.498513581888789
"52","July","Summer",2018,99,0,0,99.7,0,0,0,0,0,0.3,0,-1.01428230773858,0.0655623561530664,0.757564044980003
"53","July","Summer",2018,112,4.9,0.3,94.1,0.3,0,0,0,0,0.3,0,-0.703106107482321,0.106418432279999,0.781865817471769
"54","July","Summer",2018,114,0,0,0,0,86.2,0,13.3,0,0.6,0,0.308512224123038,-0.604577015671698,1.48191592357089
"55","July","Summer",2018,102,0,14.4,84.8,0.2,0,0,0,0,0.6,0,-0.802558437542323,0.267040650906769,0.479981574569766
"56","July","Summer",2018,101,0,0,87,0,0,0,12.2,0,0.8,0,-0.825030965355676,0.0626345186047084,0.860163169473534
"57","July","Summer",2018,107,0,99.1,0,0,0,0,0,0,0.9,0,-0.147405134576462,0.668220933482947,-0.926737570445494
"58","July","Summer",2020,265,98.8,0,0,0,0,0,0,0,1.2,0,1.22900690751552,-0.129849212998471,0.187334795848385
"59","July","Summer",2018,103,0,2.6,96.2,0,0,0,0,0,1.3,0,-0.935912734486793,0.124209456733816,0.715036549681569
"60","July","Summer",2020,250,0,6.4,92,0,0,0,0,0,1.7,0,-0.893057514946182,0.163056955899848,0.643223835944994
"61","July","Summer",2020,261,0,0,98.1,0,0,0,0,0,1.9,0,-0.99207279498814,0.074556256244115,0.763379288388142
"62","July","Summer",2020,258,0,0,95.4,0,0,0,0,0,4.6,0,-0.993568906165189,0.00487515036496168,0.714290457908251
"63","July","Summer",2018,108,0,0,90,0,0,0,0,0,10,0,-0.965387948450122,-0.0938241386892102,0.641391532858177
"64","July","Summer",2018,113,75.3,5,8.7,0,0,0.1,0,0,11,0,0.778042315415826,-0.148345521250838,0.232158629426347
"65","July","Summer",2018,96,0,1.2,82.7,0,0,0,0,0,16,0,-0.896965528700694,-0.18639970465515,0.540076541174373
"66","July","Summer",2018,110,0,32.2,51.7,0,0,0,0,0,16.1,0,-0.703349865377306,0.100965413219896,-0.00195852966491193
"67","July","Summer",2018,98,61.9,4.8,0,0,0,0,0,0,33.3,0,0.790680335136511,-0.508851700296607,-0.0769279110200009
"68","July","Summer",2018,97,0,53.8,0,0,0,0,0,0,46.2,0,-0.223704583239239,-0.172448073481143,-0.876876492875043
"69","July","Summer",2018,100,0,0,0,50,0,0,0,0,50,0,-0.764309630330848,-0.999456053865514,-0.860695252866831
"70","July","Summer",2020,266,0,0,47.4,0,0,0,0,0,52.6,0,-0.746111206755081,-0.688245665933632,0.15093077396304
"71","July","Summer",2018,109,0,1.4,32.4,0,0,0,4.1,0,62.2,0,-0.591956326786522,-0.817885319691543,0.0149879735712144
"72","July","Summer",2018,115,0,22.5,5,0,0,0,0,0,72.5,0,-0.314998650383132,-0.683752787678711,-0.595740456447441
"73","July","Summer",2020,247,0,0,21.2,0,0,0,0,0,78.8,0,-0.55592612593166,-0.977286424995191,-0.1539045834746
"74","July","Summer",2020,264,0,3.3,96.6,0,0,0,0,0,0,0.1,-0.976345282975309,0.218193046023851,0.695726286971877
"75","July","Summer",2020,249,0,0,99.8,0,0,0,0,0,0,0.2,-1.08723982390246,0.158283360161136,0.805826550194071
"76","July","Summer",2020,257,0,0,99.6,0,0,0,0,0,0,0.4,-1.13598705438336,0.102114084729953,0.749722423420745
"77","July","Summer",2020,255,0,0,99.1,0,0,0,0,0,0,0.9,-1.11075325039157,0.115634510925953,0.784181501365996
"78","July","Summer",2020,262,0,0,0,0,0,0,0,0,92.9,7.1,-0.211582726503849,-1.35990993486155,-0.397188546520388
"79","July","Summer",2018,111,26.9,1.9,1,0,0,0,4.8,0,49,16.3,0.418360365149998,-0.888011005330193,-0.0794022262690572
"80","July","Summer",2020,253,0,0,13.6,0,0,0,0,0,66,20.4,-0.457100025564669,-1.07143978060029,-0.075351626899143
"81","July","Summer",2020,254,0,0,0,0,0,0,0,0,66,34,-0.209424222805736,-1.41663737394441,-0.116383343384017
"82","July","Summer",2020,263,0,0,65.3,0,0,0,0,0,0.5,34.2,-0.755471155082477,-0.114364936668442,0.92898189704456
"83","July","Summer",2020,248,0,0,58.5,0,0,0,0,0,0,41.5,-0.801079428821513,-0.228352345218332,1.02436648596481
"84","June","Summer",2020,233,0,100,0,0,0,0,0,0,0,0,-0.153653610075718,0.86277497399781,-0.952733134493047
"85","June","Summer",2018,194,0,34.6,65.4,0,0,0,0,0,0,0,-0.77263461684426,0.406218972739345,0.209205609842381
"86","June","Summer",2018,199,0,33.7,66.3,0,0,0,0,0,0,0,-0.778076685559751,0.392306643233932,0.228045068345978
"87","June","Summer",2018,181,0,23.6,76.4,0,0,0,0,0,0,0,-0.812396364396239,0.351658105685511,0.341413123575037
"88","June","Summer",2018,182,0,0.6,99.1,0,0.3,0,0,0,0,0,-0.982431227053906,0.209734084125821,0.775765846840598
"89","June","Summer",2018,184,0,13.6,79.3,0,7,0,0,0,0,0,-0.763996254699173,0.327673408281029,0.506821845256025
"90","June","Summer",2018,185,0.2,59.8,39.7,0,0,0,0,0,0.2,0,-0.489770855264424,0.568125720499483,-0.244401612225461
"91","June","Summer",2018,195,0,17.1,82.3,0,0,0,0,0,0.6,0,-0.806591412864421,0.285570728006308,0.452951737920018
"92","June","Summer",2018,183,0,25,68.3,0,5.8,0,0,0,1,0,-0.716565945197145,0.366657093829368,0.291020906963874
"93","June","Summer",2018,190,0,43.1,55.4,0,0,0,0,0,1.5,0,-0.688537841694577,0.452407078034027,0.058600534087188
"94","June","Summer",2018,186,0,2.2,91.3,0,4.3,0,0,0,2.2,0,-0.88023430412856,0.114833642731579,0.741750713339108
"95","June","Summer",2020,229,0,97.6,0,0,0,0,0,0,2.4,0,-0.136458178375539,0.64234800712294,-0.933530541479926
"96","June","Summer",2018,191,0,25,67,0,0,0,0,0,8,0,-0.73957640677193,0.226192804066356,0.217473097310669
"97","June","Summer",2018,192,8,84,0,0,0,0,0,0,8,0,0.017077141420582,0.439124825812501,-0.857344506632426
"98","June","Summer",2018,197,0,77.8,11.1,2.8,0,0,0,0,8.3,0,-0.319297016750688,0.473641012678009,-0.709485166257281
"99","June","Summer",2018,193,0,3.8,83,0,0,0,0,0,13.2,0,-0.877431764839544,-0.121319882732977,0.518370732166671
"100","June","Summer",2018,200,0,2.1,75,0,0,0,0,0,22.9,0,-0.863739993745189,-0.283932855101265,0.450199314502887
"101","June","Summer",2018,196,0,22.9,0,0,0,0,0,0,77.1,0,-0.2500004850988,-0.731055244258714,-0.682943993195203
"102","June","Summer",2020,227,0,20,0,0,0,0,0,0,80,0,-0.245552620738155,-0.810653361369508,-0.647179286922707
"103","June","Summer",2018,187,0,0,15.4,0,0,0,0,0,84.6,0,-0.49961756810114,-1.0477833536787,-0.220033258899548
"104","June","Summer",2018,189,0,14.3,0,0,0,0,0,0,85.7,0,-0.230960958676981,-0.870945769955929,-0.61905604639975
"105","June","Summer",2020,241,0,0,7.7,0,0,0,0,0,92.3,0,-0.379793071469269,-1.17404888826722,-0.322296686796615
"106","June","Summer",2018,198,0,4.5,0,0,0,0,0,0,95.5,0,-0.226550364079658,-1.13347835847786,-0.517009449985296
"107","June","Summer",2020,231,0,0,0,0,0,0,0,0,100,0,-0.294598384966359,-1.36324995289888,-0.491917161217174
"108","June","Summer",2020,245,0,0,0,0,0,0,0,0,100,0,-0.294598384966359,-1.36324995289888,-0.491917161217172
"109","June","Summer",2020,242,0,0,0,0,0,0,0,0,100,0,-0.294598384966359,-1.36324995289888,-0.491917161217172
"110","June","Summer",2020,244,0,0,0,0,0,0,0,0,100,0,-0.294598384966359,-1.36324995289888,-0.491917161217172
"111","June","Summer",2020,246,0,0,0,0,0,0,0,0,100,0,-0.294598384966358,-1.36324995289888,-0.491917161217175
"112","June","Summer",2020,243,0,0,0,0,0,0,0,0,100,0,-0.294598384966358,-1.36324995289888,-0.491917161217174
"113","June","Summer",2020,235,0,0,0,0,0,0,0,0,100,0,-0.294598384966358,-1.36324995289888,-0.491917161217174
"114","June","Summer",2020,237,0,0,0,0,0,0,0,0,100,0,-0.294598384966359,-1.36324995289888,-0.491917161217172
"115","June","Summer",2020,239,0,0,0,0,0,0,0,0,100,0,-0.294598384966359,-1.36324995289888,-0.491917161217173
"116","June","Summer",2020,232,0,0,0,0,0,0,0,0,100,0,-0.294598384966358,-1.36324995289888,-0.491917161217174
"117","June","Summer",2020,240,0,0,0,0,0,0,0,0,100,0,-0.294598384966358,-1.36324995289888,-0.491917161217175
"118","June","Summer",2020,236,0,0,0,0,0,0,0,0,100,0,-0.294598384966358,-1.36324995289888,-0.491917161217175
"119","June","Summer",2020,230,0,0,0,0,0,0,0,0,100,0,-0.294598384966359,-1.36324995289888,-0.491917161217174
"120","Nov","Fall",2020,206,100,0,0,0,0,0,0,0,0,0,1.44455451162618,-0.0365488080447342,0.139603471978092
"121","Nov","Fall",2020,202,6.1,1.3,2.3,0,0,0,0,90.3,0,0,0.560257904128103,1.1964726163475,0.940958566724385
"122","Nov","Fall",2020,205,99.9,0,0,0,0,0,0,0,0.1,0,1.23461678351225,-0.149226827682428,0.156754342543825
"123","Nov","Fall",2020,201,0,12.5,0,0,0,0,0,62.2,25.3,0,0.0669585610718215,-0.603063911485136,-1.04819841694602
"124","Nov","Fall",2020,204,0,0,0,0,0,0,0,73.6,26.4,0,0.15444723396913,-1.51789962990532,0.371025469872742
"125","Nov","Fall",2020,203,0,0,0,0,0,0,0,0,100,0,-0.294598384966358,-1.36324995289888,-0.491917161217175
"126","Oct","Fall",2020,298,100,0,0,0,0,0,0,0,0,0,1.44455451162618,-0.0365488080447344,0.139603471978092
"127","Oct","Fall",2020,305,100,0,0,0,0,0,0,0,0,0,1.44455451162618,-0.0365488080447344,0.139603471978092
"128","Oct","Fall",2020,301,100,0,0,0,0,0,0,0,0,0,1.44455451162618,-0.036548808044734,0.139603471978092
"129","Oct","Fall",2020,304,100,0,0,0,0,0,0,0,0,0,1.44455451162618,-0.0365488080447341,0.139603471978092
"130","Oct","Fall",2020,292,100,0,0,0,0,0,0,0,0,0,1.44455451162618,-0.0365488080447342,0.139603471978092
"131","Oct","Fall",2020,291,100,0,0,0,0,0,0,0,0,0,1.44455451162618,-0.0365488080447342,0.139603471978092
"132","Oct","Fall",2020,289,100,0,0,0,0,0,0,0,0,0,1.44455451162618,-0.0365488080447344,0.139603471978092
"133","Oct","Fall",2018,141,100,0,0,0,0,0,0,0,0,0,1.44455451162618,-0.0365488080447343,0.139603471978093
"134","Oct","Fall",2018,147,100,0,0,0,0,0,0,0,0,0,1.44455451162618,-0.0365488080447342,0.139603471978092
"135","Oct","Fall",2018,149,100,0,0,0,0,0,0,0,0,0,1.44455451162618,-0.0365488080447342,0.139603471978092
"136","Oct","Fall",2018,146,90.3,9.7,0,0,0,0,0,0,0,0,1.11920934867849,0.0927667668860275,0.0789759817580588
"137","Oct","Fall",2018,142,90,10,0,0,0,0,0,0,0,0,1.11038906093496,0.0692332546418249,0.0584175948204893
"138","Oct","Fall",2018,148,83.9,16.1,0,0,0,0,0,0,0,0,0.991568392664179,0.141204777967762,-0.0327340697168995
"139","Oct","Fall",2020,296,80.4,19.6,0,0,0,0,0,0,0,0,0.978053647672192,0.1563784921675,-0.0573658355833024
"140","Oct","Fall",2020,297,50.1,49.9,0,0,0,0,0,0,0,0,0.647363876597512,0.397143851838033,-0.378414507214452
"141","Oct","Fall",2020,303,0,100,0,0,0,0,0,0,0,0,-0.153653610075718,0.86277497399781,-0.952733134493047
"142","Oct","Fall",2020,299,0,100,0,0,0,0,0,0,0,0,-0.153653610075718,0.862774973997809,-0.952733134493047
"143","Oct","Fall",2020,290,0,100,0,0,0,0,0,0,0,0,-0.153653610075718,0.86277497399781,-0.952733134493047
"144","Oct","Fall",2018,140,0,100,0,0,0,0,0,0,0,0,-0.153653610075717,0.862774973997809,-0.952733134493047
"145","Oct","Fall",2018,151,0,100,0,0,0,0,0,0,0,0,-0.153653610075718,0.862774973997809,-0.952733134493047
"146","Oct","Fall",2018,154,99.5,0,0.5,0,0,0,0,0,0,0,1.18301217234962,-0.0173077515793242,0.301879011242304
"147","Oct","Fall",2018,144,83.1,15.6,1.3,0,0,0,0,0,0,0,0.934567688835147,0.141286956471028,0.0443900410154748
"148","Oct","Fall",2018,153,84.6,12.7,2.7,0,0,0,0,0,0,0,0.940674384393342,0.13468041706518,0.0911861565632305
"149","Oct","Fall",2018,136,0,96.5,3.5,0,0,0,0,0,0,0,-0.22717007215179,0.818370459438873,-0.836438124843194
"150","Oct","Fall",2018,137,0,83.6,16.4,0,0,0,0,0,0,0,-0.375865560610196,0.742386484150131,-0.595994549685129
"151","Oct","Fall",2020,287,0,0,100,0,0,0,0,0,0,0,-1.15157041918959,0.179371895965592,0.7634225196354
"152","Oct","Fall",2018,139,99.4,0,0,0.6,0,0,0,0,0,0,1.30964013517658,-0.0877168615299316,0.0439465500240437
"153","Oct","Fall",2020,302,0,0,0,100,0,0,0,0,0,0,-1.81696533948605,-0.1015251689165,-1.31773139461897
"154","Oct","Fall",2018,138,0,99.3,0,0,0.7,0,0,0,0,0,-0.0907234678769649,0.866397170605092,-0.863931321228012
"155","Oct","Fall",2018,152,0,29.5,17.8,0,0,52.7,0,0,0,0,-0.296106852515842,1.19542401460839,0.116033477245624
"156","Oct","Fall",2018,155,13.4,10.9,0,0,0,75.6,0,0,0,0,0.724284718639073,1.32684815181179,0.2829238495643
"157","Oct","Fall",2018,145,99.4,0.6,0,0,0,0,0,0,0.1,0,1.19347256041841,-0.0979141164282664,0.167496843798034
"158","Oct","Fall",2018,150,63.4,0,0,0,0,36.5,0,0,0.1,0,1.06117848233024,-0.114377114065805,0.556146511169673
"159","Oct","Fall",2018,143,99.9,0,0,0,0,0,0,0,0.1,0,1.23461678351225,-0.149226827682428,0.156754342543825
"160","Oct","Fall",2020,306,99.9,0,0,0,0,0,0,0,0.1,0,1.23461678351225,-0.149226827682428,0.156754342543825
"161","Oct","Fall",2020,293,0,99.8,0,0,0,0,0,0,0.2,0,-0.115598447872599,0.662307456343574,-0.942282769699262
"162","Oct","Fall",2020,288,99.8,0,0,0,0,0,0,0,0.2,0,1.23081816922704,-0.148454643658557,0.195365159557295
"163","Oct","Fall",2020,295,0,13.2,0,0,0,0,0,0,86.8,0,-0.231338141647036,-0.898360469792299,-0.606155015633866
"164","Sept","Fall",2020,224,100,0,0,0,0,0,0,0,0,0,1.44455451162618,-0.0365488080447336,0.139603471978093
"165","Sept","Fall",2020,225,100,0,0,0,0,0,0,0,0,0,1.44455451162618,-0.0365488080447341,0.139603471978092
"166","Sept","Fall",2020,223,100,0,0,0,0,0,0,0,0,0,1.44455451162618,-0.0365488080447342,0.139603471978092
"167","Sept","Fall",2020,219,100,0,0,0,0,0,0,0,0,0,1.44455451162618,-0.0365488080447344,0.139603471978092
"168","Sept","Fall",2020,218,100,0,0,0,0,0,0,0,0,0,1.44455451162618,-0.0365488080447342,0.139603471978092
"169","Sept","Fall",2020,213,100,0,0,0,0,0,0,0,0,0,1.44455451162618,-0.0365488080447344,0.139603471978092
"170","Sept","Fall",2020,215,100,0,0,0,0,0,0,0,0,0,1.44455451162618,-0.0365488080447344,0.139603471978092
"171","Sept","Fall",2018,176,100,0,0,0,0,0,0,0,0,0,1.44455451162618,-0.0365488080447342,0.139603471978092
"172","Sept","Fall",2018,179,100,0,0,0,0,0,0,0,0,0,1.44455451162618,-0.0365488080447344,0.139603471978092
"173","Sept","Fall",2018,177,98.6,1.4,0,0,0,0,0,0,0,0,1.26111668179425,0.0133609350383661,0.183767899715013
"174","Sept","Fall",2018,178,91.3,8.7,0,0,0,0,0,0,0,0,1.12292950141123,0.0587199979908892,0.0870682590617603
"175","Sept","Fall",2018,173,87.5,12.5,0,0,0,0,0,0,0,0,1.06820049821656,0.104076053004092,0.00678279848168114
"176","Sept","Fall",2020,212,76.4,23.6,0,0,0,0,0,0,0,0,0.904602374856741,0.194538884691891,-0.115940677119218
"177","Sept","Fall",2020,220,0,100,0,0,0,0,0,0,0,0,-0.153653610075718,0.862774973997809,-0.952733134493047
"178","Sept","Fall",2018,163,0,100,0,0,0,0,0,0,0,0,-0.153653610075718,0.86277497399781,-0.952733134493046
"179","Sept","Fall",2018,165,0,100,0,0,0,0,0,0,0,0,-0.153653610075717,0.86277497399781,-0.952733134493047
"180","Sept","Fall",2020,207,53.9,0,46.1,0,0,0,0,0,0,0,0.367311063340238,0.0570655275128376,0.647919655053428
"181","Sept","Fall",2020,209,0,0,100,0,0,0,0,0,0,0,-1.15157041918959,0.179371895965592,0.7634225196354
"182","Sept","Fall",2018,161,66.1,5.6,0,28.2,0,0,0,0,0,0,1.07773006916449,-0.134420503093978,-0.193175145765909
"183","Sept","Fall",2020,222,0,24,0,76,0,0,0,0,0,0,-0.966435102379621,0.262976813079305,-1.14516343381118
"184","Sept","Fall",2018,169,96.6,0,0,0,3.4,0,0,0,0,0,1.3709140841533,0.0359396891378619,0.246309796232979
"185","Sept","Fall",2018,171,0,0,0,0,100,0,0,0,0,0,0.581229397461963,0.23813157818597,2.03988056168982
"186","Sept","Fall",2020,214,0,10.2,85.8,0,0,4,0,0,0,0,-0.840293737079662,0.339634647507452,0.611839515591108
"187","Sept","Fall",2018,180,0,29.2,13.2,0,48.5,9.2,0,0,0,0,-0.119548910285498,1.13048527528312,0.204290355223733
"188","Sept","Fall",2018,167,0,14.8,12.6,0,0,72.7,0,0,0,0,-0.182704095076063,1.31450133078382,0.405121687712029
"189","Sept","Fall",2020,217,0,55.5,0,0,13.3,0,31.2,0,0,0,0.0100103745558787,1.15993427443432,-0.354766758657144
"190","Sept","Fall",2018,174,56.6,0,22.8,0,0,20.5,0,0,0.1,0,0.626960532202576,0.0546169507737605,0.584654155675711
"191","Sept","Fall",2018,172,0,88.9,5.1,0,5.8,0,0,0,0.2,0,-0.191580774127964,0.674350981208573,-0.770938882877851
"192","Sept","Fall",2020,210,53.4,40.8,0,0,5.7,0,0,0,0.2,0,0.674297342857713,0.350590931110296,-0.293340854663278
"193","Sept","Fall",2020,208,0,99.8,0,0,0,0,0,0,0.2,0,-0.115598447872599,0.662307456343574,-0.942282769699262
"194","Sept","Fall",2018,166,0,46,53.4,0,0,0,0,0,0.6,0,-0.681538267462024,0.47832547895578,0.0119731367536074
"195","Sept","Fall",2018,168,0,54,38.1,6.2,0,0,0,0,1.8,0,-0.592757912775014,0.53518905605961,-0.239320734331088
"196","Sept","Fall",2020,226,0,51.2,0,46.8,0,0,0,0,2,0,-0.510672750655557,0.322419184539376,-1.0663050940717
"197","Sept","Fall",2018,170,0,87.5,0,0,0,0,0,0,12.5,0,-0.156040943396775,0.42276766308973,-0.934519243867394
"198","Sept","Fall",2020,216,0,0,0,0,0,0,0,0,100,0,-0.294598384966358,-1.36324995289888,-0.491917161217174
"199","Sept","Fall",2020,211,0,0,0,0,0,0,0,0,100,0,-0.294598384966359,-1.36324995289888,-0.491917161217172
"200","Sept","Fall",2018,164,0,20.2,0,79.1,0,0.6,0,0,0.1,0.1,-0.920748566483704,0.0649086331768497,-1.11320472778223
"201","Sept","Fall",2018,162,0,63.9,32.3,0,0,0,0,0,0,3.8,-0.499045747788327,0.635213345347849,-0.367512267847221
